;statement;issue;person;channel;truth
16592;"Says under the Senate immigration bill, newly legalized immigrants will ""pay every tax possible, but you don’t get a single benefit"" for 10 years.";welfare;Luis Gutierrez; in an interview with CNN;mostly-true
16593;"""In 1960, most black children were raised in two-parent, monogamous families."" Today ""we have only 20 percent of black children being raised in two-parent, monogamous families...""";welfare;E.W. Jackson; in a speech.;mostly-true
16594;"The immigration bill includes free ""Obamacars,"" motorcycles or scooters.";welfare;Bloggers; in a blog post on Breitbart;pants-fire
16595;"Proposed cuts in the House farm bill mean ""2 million less people on food stamps, 210,000 children will not receive school lunches or breakfasts.""";welfare;Barbara Lee; in an interview with MSNBC;mostly-true
16596;"""Some of these members of the House of Representatives get hundreds of thousands of dollars in farm subsidies"" but want to cut food stamps.";welfare;Sherrod Brown; in a conference call with reporters;true
16597;"""A bag of Cheetos costs less to buy than an apple,"" and in some Milwaukee neighborhoods ""good luck trying to find an apple or a banana or some sort of healthy option""";welfare;Mike Tate; in a radio interview;mostly-true
16598;"A Wisconsin bill to limit use of food stamps for junk food would also ""prevent -- or limit --  the extent to which"" food stamps could be used for organic foods.";welfare;Fred Clark; in a legislative meeting;mostly-true
16599;"Proposed immigration legislation would give new immigrants ""a taxpayer-funded cellular phone.""";welfare;Bloggers; in blog posts on the Internet;false
16600;"College students ""who are NOT U.S. Citizens and who get the PELL Grant"" plan to return to their home countries after getting free gas cards and child care.";welfare;Chain email; in an email;pants-fire
16601;"Two-thirds of Wisconsinites receiving unemployment checks ""are not required to search for work due to current work search exemptions.""";welfare;Scott Walker; in a speech;mostly-true
16602;"On his definition of ""takers"" and ""makers""";welfare;Paul Ryan; in interviews;full-flop
16603;Says 11 states have more people on welfare than employed.;welfare;Chain email; in an email sent to PolitiFact Texas;pants-fire
16604;Says Walmart employees represent the largest group of Medicaid and food stamp recipients in many states, costing the taxpayer $1,000 per worker.;welfare;Alan Grayson; in a Huffington Post column;mostly-true
16605;"""Our welfare system now consumes 42 percent of our budget.""";welfare;Patricia Morgan; in a campaign flier;half-true
16606;"The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""";welfare;Bill Clinton; in a convention speech;true
16607;Says Mitt Romney asked for a waiver from federal welfare rules.;welfare;Rahm Emanuel; in an appearance on Meet the Press;barely-true
16608;"When his grandfather arrived in the United States, ""there were no government benefits for immigrants.""";welfare;Rick Santorum; in a speech at the Republican National Convention in Tampa;false
16609;"Says President Obama has waived ""the work requirement for welfare.""";welfare;Rick Santorum; in a convention speech;pants-fire
16610;"The Obama administration is ""unwinding our nation’s welfare-to-work requirements.""";welfare;Bob McDonnell; in an op-ed.;false
16611;"""Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.""";welfare;Jay Carney; in a press White House press briefing;false
16612;"""Under Obama’s plan (for welfare), you wouldn’t have to work and wouldn’t have to train for a job. They just send you your welfare check.""";welfare;Mitt Romney; in a campaign ad;pants-fire
16613;Says 1 in 7 American families is on food stamps.;welfare;Sarah Palin; in her speech at a rally for Ted Cruz in The Woodlands;true
16614;"""Two thirds to three quarters of people without [health] insurance in Rhode Island work.""";welfare;Elizabeth Roberts;" in a panel discussion on ""A Lively Experiment""";half-true
16615;"""When these [undocumented] students graduate from college, they're still illegal aliens. They cannot get a job.""";welfare;Terry Gorman; in a House committee hearing;true
16616;"""One out of two Americans … are living either in or near poverty. That means 150 million Americans, half of us.""";welfare;Tavis Smiley;" in an interview on CBS' ""Face the Nation""";half-true
16617;"""When my grandfather came to this country back in 1925, there were no government benefits.""";welfare;Rick Santorum; in a campaign speech;false
16618;"About 800 people refused to get a drug screening because they are ""out there on drugs.""";welfare;Paige Kreegel; in remarks in the state Legislature;false
16619;"""More people have been put on food stamps by Barack Obama than any president in American history.""";welfare;Newt Gingrich; in a Republican presidential debate in Myrtle Beach, S.C.;half-true
16620;"Says a drug test can be performed for ""just $4 or $5.""";welfare;Stacey Campfield; in interview with Knoxville News Sentinel's Tom Humphrey.;mostly-true
16621;"As a result of welfare reform, ""poverty levels went down to the lowest level ever for ... African-American children.""";welfare;Rick Santorum; in a New Hampshire town hall with voters;half-true
16622;"Rick Santorum ""reformed welfare.""";welfare;Rick Santorum; in a video ad;half-true
16623;"Says Rep. Betty Sutton supports allowing ""welfare fund withdrawals from strip clubs, casinos and liquor stores.""";welfare;National Republican Congressional Committee; in a news release;barely-true
16624;Says King Street Patriots held a fundraiser featuring an author who believes that registering the poor to vote is un-American.;welfare;Boyd Richie; in an email blast;true
16625;"Says that as Wisconsin governor, ""we ended welfare.""";welfare;Tommy Thompson; in a campaign announcement video;mostly-true
16626;AOC posted that Trump’s election victory emboldened a conservative news outlet to call for her resignation because she’s a woman.;women;Instagram posts; in an Instagram post;false
16627;“Abortion is never medically necessary in the last trimester. Literally never. They just do a C-section.”;women;Threads posts; in a Threads post;false
16628;“Elon Musk launches new pregnancy robot.”;women;Facebook posts; in a Facebook post;false
16629;“Unlike other amendments, Amendment 4 has no definitions. … Without definitions these words can mean almost anything.”;women;Vote No on 4; in a TV ad;barely-true
16630;First lady Jill Biden led a Cabinet meeting for President Joe Biden and her signature appears on presidential stationery.;women;X posts; in an X post;false
16631;An image shows Taylor Swift responding to Elon Musk's X post about giving her a child by saying she's happy to take his daughter Vivian and ‘give her all the love and respect she deserves.’;women;Threads posts; in a post on Threads;false
16632;“In Project 2025, you’re going to have to register with a new federal agency when you get pregnant.”;women;Tim Walz; in a speech;false
16633;“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”;women;Elizabeth Warren; in an interview;true
16634;Vice President Kamala Harris is “calling for an end to the child tax credit.”;women;JD Vance; in an interview;pants-fire
16635;Project 2025 calls for restricting “access to IVF and contraception.”;women;Kamala Harris; in a campaign event;barely-true
16636;Switzerland banned mammograms.;women;Instagram posts; in an Instagram post;false
16637;"Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.""";women;Kamala Harris; in a moderated conversation;true
16638;C-sections are coded as abortions in hospitals.;women;Threads posts; in a Threads post;false
16639;Republican legislatures “have targeted birth control” and in Wisconsin “refused to schedule a vote on a bill that would have codified a right to birth control.”;women;Democratic Legislative Campaign Committee; in News release;half-true
16640;"""Every Senate Democrat has voted to support unlimited abortions up to the moment of birth.”";women;Ron Johnson; in Podcast;false
16641;Sen. Katie Britt introduced a bill “to create a national registry of pregnant women.”;women;X posts; in an X post;false
16642;Former President Donald Trump told Time magazine that “states should monitor women’s pregnancies and prosecute those who violate abortion bans.”;women;Joe Biden; in a campaign event;barely-true
16643;"""We have technology and medical advancements today that can tell you if you are pregnant the day after conception.""";women;Amanda Nedweski; in Wisconsin Assembly;false
16644;There is “clear scientific consensus” that “hormonal birth control makes you fat, doubles risk of depression and triples risk of suicide.”;women;Elon Musk; in a post;false
16645;“The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.”;women;Robin Vos; in TV interview;barely-true
16646;"Women ""store DNA"" from all their male sexual partners.";women;Instagram posts; in a post;false
16647;"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state.""";women;Opportunity Wisconsin; in News release;half-true
16648;Video shows Donald Trump believes “there has to be some form of punishment” for women who have abortions.;women;Joe Biden; in an ad;barely-true
16649;"Women vaccinated against COVID-19 face ""unknown side effects that could perpetually go down through the lineage"" to their children.";women;Instagram posts; in a video;false
16650;“Stop getting mammograms immediately as they are outdated and dangerous!” Thermography “is a safer way to test for breast cancer!”;women;David Wolfe; in a Facebook post;false
16651;“The fact is, today abortion law in the United States is more aligned with China and North Korea than with Western nations in Europe.”;women;Mike Pence; in a speech;barely-true
16652;"Having ""biological boys … in their locker rooms” is a reason why “a third of our teenage girls seriously contemplated suicide last year.""";women;Nikki Haley; in a CNN town hall;false
16653;“The share of working-age men choosing to work is the lowest it has ever been.”;women;Tim Scott; in his presidential announcement speech;half-true
16654;Pregnant women getting the Tdap vaccine “voluntarily are quite literally the experiment.”;women;Instagram posts; in an Instagram post;false
16655;Sen. Tommy Tuberville is preventing military promotions “because he objects to women within the military getting access to reproductive care.”;women;Charles Schumer; in a Senate floor speech;half-true
16656;“Female student-athletes in Florida need to provide their schools with detailed information about their periods.”;women;X posts; in a tweet;half-true
16657;Pregnancy tests include a “hidden Plan B” pill.;women;Facebook posts; in a video on Facebook;false
16658;"“More contraception availability increases abortion demand.""";women;Instagram posts; in an Instagram post;false
16659;“Black women are 3 to 4 times more likely to die (from maternal mortality) even when they have the insurance and the income.”;women;Raphael Warnock; in a debate;mostly-true
16660;Kari Lake has “gone on the record saying she supports Arizona's complete abortion ban. She's called it a great law.”;women;Katie Hobbs; in an interview on CBS News' Face the Nation;mostly-true
16661;"""Val Demings supports abortion up until the moment of birth.""";women;Marco Rubio; in a tweet;barely-true
16662;Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”;women;Blake Masters; in remarks at a Trump rally in Arizona;barely-true
16663;Mehmet Oz “wants to make abortion a crime in Pennsylvania.”;women;Planned Parenthood Votes; in an ad;half-true
16664;“Plan B can cause an abortion. It’s right there on the box.”;women;Instagram posts; in an Instagram post;false
16665;"The Supreme Court decision overturning Roe v. Wade ""made the United States an outlier among developed nations in the world"" on abortion rights.";women;Joe Biden; in a speech;mostly-true
16666;Recent research suggests that 15% of abortions are the result of coercion.;women;X posts; in a tweet;barely-true
16667;"Adam Laxalt ""wants to restrict"" and ""worked to limit access to birth control.""";women;Catherine Cortez Masto; in an ad;mostly-true
16668;"Adam Laxalt ""supports eliminating Nevada's protections for legal abortions.""";women;Catherine Cortez Masto; in an ad;half-true
16669;"""In Iran, if a 12-year-old girl is raped and impregnated by her father, she must carry the baby to term, or be thrown in prison for life. Wait, sorry, no, That's Alabama.""";women;Instagram posts; in a post;false
16670;“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”;women;Lindsey Graham; in an interview on Fox News Sunday;half-true
16671;"""In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.""";women;Alexandria Ocasio-Cortez; in a tweet;false
16672;“Virginia women are paid 80 cents for every dollar paid to Virginia men.”;women;Tim Kaine; in a tweet.;true
16673;Says gubernatorial candidate Rebecca Kleefisch “worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.”;women;Kelda Helen Roys; in Email;true
16674;"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”";women;Joe Biden; in a speech in Howell, Mich.;mostly-true
16675;Texas “ranks 50th in baby wellness checks, ranks 50th in clinical care for infants, ranks 50th in uninsured women, ranks 43rd in maternal mortality, ranks 44th in school funding per child, and ranks 46th in child hunger.”;women;Occupy Democrats; in on social media;half-true
16676;"Women are ""disproportionately impacted by voter ID laws — especially married women who change their names, or those whose IDs do not accurately reflect their gender.""";women;Joe Biden; in a proclamation;mostly-true
16677;“80% of women who have been jabbed have lost their children in the first trimester.”;women;Facebook posts; in a Facebook post;false
16678;“324,000 pregnant people experience domestic violence during their pregnancy.”;women;Gwen Moore; in Twitter;true
16679;“Newly obtained emails show UCSF harvesting the clitorises, testicles and penises of murdered babies.”;women;Facebook posts; in a Facebook post;false
16680;A study found an “82% miscarriage rate” among women between 30 days and 20 weeks pregnant who got an mRNA COVID-19 vaccine.;women;Facebook posts; in an Instagram post;false
16681;“World Health Organization wants to BAN all women aged 18-50 from drinking alcohol.”;women;Bloggers; in a story's headline;false
16682;Poll shows that men are more likely to do chores than women in U.S. households.;women;Viral image; in a Facebook post;false
16683;“We had the highest number of (military) sexual assaults ever reported in the last year” and “we had the lowest conviction rate and the lowest prosecution rate.”;women;Kirsten Gillibrand; in an interview with WNYC;mostly-true
16684;“I have never sued a nun — any nuns.”;women;Xavier Becerra; in statements at a confirmation hearing;half-true
16685;“The United States is the only industrialized, modernized country that does not already have a paid family medical leave program in place.”;women;Jennifer Boysko; in a committee debate.;true
16686;“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”;women;Sarah Godlewski; in Twitter;true
16687;“The majority of minimum wage workers...are mothers.”;women;Abigail Spanberger; in a debate.;false
16688;Nick Freitas “voted to let businesses discriminate and fire expecting mothers for no other reason but their pregnancy. ”;women;United Association’s Union Plumbers and Pipefitters Vote! PAC; in a TV ad.;mostly-true
16689;“Amy Coney Barrett has said that a woman should not be able to own property, buy or sell without the permission of her husband or a male relative.”;women;Facebook posts; in a Facebook post;false
16690;Says Democrats are embracing “abortion up until the moment of birth and even, horrifically, after that.”;women;Ted Cruz; in a speech;false
16691;Says “black babies die at rates twice as high as white babies because of a lack of access to affordable health care.”;women;Michael Bloomberg; in a rally;mostly-true
16692;"Says Joe Biden ""tells men to marry into families ‘with 3 or 4 sisters.’""";women;Bloggers; in a web post;false
16693;Image shows U.S. National Guard Sgt. Leigh Ann Hester.;women;Sid Miller; in a Facebook post;false
16694;"""In Texas, Latinas make less than $0.45 for every dollar a man makes. That makes us 49th in the nation.""";women;Lizzie Pannill Fletcher; in a tweet;mostly-true
16695;"""In WI, over 79% of Title X patients rely on Planned Parenthood for their basic health care.""";women;Mark Pocan; in a tweet;mostly-true
16696;"Says that in 1770 ""British parliament banned lipstick, saying it had the power to seduce men into marriage, which was classified as witchcraft.""";women;Facebook posts; in a Facebook post;pants-fire
16697;"""Well, I got 52% (of women voters). And I will tell you — in my opinion I might have won women. ... Hey, Hillary Clinton focused on women, and I did phenomenally well.""";women;Donald Trump; in an ABC News interview;barely-true
16698;"""Turns out the critics of the Texas maternal mortality rate were just lying. It’s less than half of what the critics said. It’s about 1/10 of 1%.""";women;Greg Abbott; in in a tweet;barely-true
16699;"""In America today, women on average are paid 80 cents on the dollar of what men are paid for the same work.""";women;Kamala Harris;" in an interview on CBS's ""Late Show with Stephen Colbert""";barely-true
16700;"""Black women make only around 63 cents while Native American women earn 58 cents, and Hispanic women make just 54 cents in comparison to every dollar a man makes.""";women;West Virginia Democratic Party; in a tweet;mostly-true
16701;"""The majority of women are minimum wage workers.""";women;Kamala Harris; in a CNN town hall;false
16702;"""Disparities in infant mortality between white America and black America (are) greater today, in 2019,  than in the year 1850...""";women;Beto O'Rourke; in a speech.;mostly-true
16703;"""Wisconsin (has) the highest infant mortality rate for black babies nationwide.""";women;Shelia Stubbs; in a public forum;true
16704;"""Women in Virginia have been incarcerated at an increasingly high rate. It’s around (a) 300 percent increase in the past four or five years.""";women;Kaye Kory; in radio interview.;false
16705;"""We have more women in the workforce than ever before.""";women;West Virginia Republican Party; in a tweet;half-true
16706;"A girl’s ""life expectancy is seven years after entering into prostitution.""";women;Mary Elizabeth Coleman; in a speech at a General Laws Committee hearing;false
16707;"""The high cost of child care is the No. 1 reason people give for having fewer children than they’d like.""";women;Elizabeth Warren; in a policy announcement on Medium;half-true
16708;"""Since the passage of (the Violence Against Women Act), annual rates of domestic violence have dropped by 63 percent.""";women;Joe Biden; in a tweet;half-true
16709;"""In the United States, if there was equal participation of women in the labor market, GDP would be up by 5 percent.""";women;Christine Lagarde; in an interview with CBS News' Face the Nation;half-true
16710;"""Studies even show that when women go to Congress they get more things done - more bipartisan effort, more bills passed.""";women;Kirsten Gillibrand; in a television interview;mostly-true
16711;"Says Rep. Martha McSally ""has repeatedly tried to limit women’s access to birth control, and she even cosponsored a bill to make contraception more expensive for women.""";women;Arizona Democratic Party; in a website;half-true
16712;"Says Marsha Blackburn ""voted against the Reauthorization of the Violence Against Women Act, which attempts to protect women from domestic violence, stalking, and date rape.""";women;Taylor Swift; in an Instagram post;mostly-true
16713;"Under Phil Bredesen, in sexual harassment cases, his administration chose ""to shred some of the documents so that women’s voices would never be heard.""";women;Marsha Blackburn; in a debate in Nashville, Tenn.;half-true
16714;"""While Richard Cordray was Attorney General, 12,000 rape kits like Allyssa's were left untested. Cordray's failure left serial rapists free to strike again. Then Mike DeWine became Attorney General. He tested all 12,000 rape kits. Now hundreds of rapists are behind bars.""";women;Mike DeWine; in a TV ad;half-true
16715;"""In Wisconsin, abortion is still a crime.""";women;Kelda Helen Roys; in a TV ad;barely-true
16716;"""After Texas cut"" its ""two-year family planning budget by $73 million, one in four clinics closed their doors.""";women;Lupe Valdez; in an online survey;mostly-true
16717;"""Kanye (West) looks and he sees black unemployment at the lowest it’s been in the history of our country. He sees Hispanic unemployment at the lowest it’s been in the history of our country. He sees (women’s unemployment) the lowest it’s been in now almost 19 years.""";women;Donald Trump;" in an interview on ""Fox & Friends""";mostly-true
16718;"""On average, American women only earn 80 cents for every dollar a man earns for doing the same job.""";women;Tina Smith; in a tweet;barely-true
16719;"""Half of the American women who are murdered are killed by their intimate partners.""";women;Andrew Cuomo; in remarks at a rally;true
16720;"Says abortion is ""the leading cause of death for black Americans and kills as many as 1,000 black children every day.""";women;Jason Isaac; in a voters guide from the League of Women Voters of Texas and League of Women Voters Austin Area;barely-true
16721;"""I don’t need a lecture from Kirsten Gillibrand or anybody else who protected and defended and harbored a sitting president who had sexual relations in the Oval Office and was impeached for lying.""";women;Kellyanne Conway; in an interview on ABC's 'This Week';barely-true
16722;"""The president has been very clear. All forms of abuse, all forms of battery against women are deplorable and disgusting. ... He’s said that multiple times in the past.""";women;Hogan Gidley; in an interview on Fox News;false
16723;"""In the current law, if you report harassment, you're the one that has to go into 20 hours of counseling before you can decide whether you were really harassed.""";women;Roy Blunt;" in an interview on ""Meet the Press""";half-true
16724;"Says Paul Ryan is leading the effort to ""pass a tax bill with divisive conception language by disguising it as a college savings plan"" in ""another attempt to ban abortion and rob women of their reproductive rights.""";women;NARAL Pro-Choice America; in an online popup ad;half-true
16725;"Says Doug Jones ""is for full-term abortion.""";women;Kayla Moore; in a women for Moore rally;false
16726;"Abortion in the U.S. ""is at an all time legal low.""";women;Kevin Cahill; in a radio interview on The Capitol Pressroom;half-true
16727;"""Women in our state will continue to have cost-free access to reproductive health care""";women;Andrew Cuomo; in a statement;mostly-true
16728;"""We’re the only developed nation in the world that doesn’t have paid maternity leave.""";women;Claire McCaskill; in a town hall in Monett, Mo.;mostly-true
16729;"""Missouri Votes to Let Employers Fire People Who Use Birth Control.""";women;Feministing; in a web post;pants-fire
16730;"""Texas mothers are dying during childbirth at the highest rates in the nation.""";women;Shawn Thierry; in a press release;mostly-true
16731;"A national paid leave program ""would potentially put into the economy $21 billion dollars annually.""";women;Kirsten Gillibrand; in a speech at a conference;barely-true
16732;"""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""";women;Ivanka Trump;" in an interview on ""Fox & Friends""";mostly-true
16733;"""We have pay equity. When you think about that wage gap, we all know it's 78 cents to the dollar. Well, in New York state it's 90 cents to the dollar.""";women;Kathy Hochul; in a speech at City & State’s State of NY Women forum;mostly-true
16734;"""In 2012, you were discussing how you led the effort to defund breast cancer screenings at Planned Parenthood.""";women;Jon Ossoff; in a debate;mostly-true
16735;"""Planned Parenthood is the biggest abortion provider in the country.""";women;Glenn Grothman; in a town hall meeting;true
16736;"In the House Republican health care bill, ""we’re expanding women’s access to health services by redirecting Planned Parenthood dollars to community health centers, which vastly outnumber Planned Parenthood clinics.""";women;Barry Loudermilk; in an email to constituents;barely-true
16737;"The GOP health bill ""would once again allow being a rape or domestic violence victim to be a pre-existing condition.""";women;Judy Chu; in a press release;barely-true
16738;"""Under ‘Trumpcare,’"" domestic violence and sexual assault ""could be considered pre-existing conditions.""";women;Gwen Moore; in a news release;barely-true
16739;Under the House Republican health plan, sexual assault is a pre-existing condition.;women;Bloggers; in blog headlines;barely-true
16740;"""40 percent of American households have female primary breadwinners.""";women;Ivanka Trump;" in her book ""Women Who Work""";mostly-true
16741;"In Congress, ""on the Democratic side of the room, you’ve got men and women of all different races; on the other side, you’ve got a bunch of white men in dark suits, all over 55 or so.""";women;Mark Pocan; in an interview;mostly-true
16742;"Says he created ""over 500,000 new jobs -- with a surge in female employment last month.""";women;Donald Trump; in a White House web page;half-true
16743;"""75 percent of the town boards in Wisconsin have no women on them at all.""";women;Erin Forrest; in an interview;true
16744;"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""";women;Carolyn Maloney; in remarks on the House floor;true
16745;"""For every extra year a girl goes to school, her income goes up 12 percent.""";women;Bono; in a speech at the Munich Security Conference;true
16746;"Say George Soros's money ""went straight into the (Women’s March) protesters’ pockets.""";women;Bloggers; in a blog post;pants-fire
16747;"""Pads and tampons (are) still taxed when Viagra and Rogaine are not.""";women;Ashley Judd; in a speech at the Women's March.;half-true
16748;"Even ""though men comprise 49% of the population, they hold 80% of the lawmaking power in the Legislature (144 of 181 seats).""";women;Annie's List; in a press release;true
16749;"Margaret Sanger ""wanted a black Christian leader to be like a Judas goat and lead the blacks to genocide. Remember that? And they picked Martin Luther King as their spokesman.""";women;Pat Robertson; in a TV broadcast.;pants-fire
16750;"""I have tremendous support from women.""";women;Donald Trump; in a speech in Jacksonville, Fla.;false
16751;"""FBI confirms evidence of huge underground Clinton sex network.""";women;Conservative Daily Post; in a posting on the Internet;pants-fire
16752;"Says Donald Trump and Ron Johnson ""oppose a woman's right to choose and Johnson voted against the Violence Against Women Act.""";women;Russ  Feingold; in a radio ad;mostly-true
16753;"Says Donald Trump ""doesn't believe in equal pay.""";women;Hillary Clinton; in a campaign rally in Dade City, Fla.;half-true
16754;"Chris Koster ""opposed protecting the women of Missouri"" because he ""was one of only four senators to vote against"" a bill ending the practice of making rape victims pay for their own rape kits.";women;Eric  Greitens; in a press release;half-true
16755;"Says Chris Koster ""fell silent"" as attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting ""over $12,000 in campaign contributions' from people affiliated with the service.""";women;Eric  Greitens; in a press release;barely-true
16756;"The stories from women saying he groped or forced himself on them ""largely have been debunked.""";women;Donald Trump; in the third 2016 presidential debate;false
16757;"""Sen. (Richard) Burr voted no on the Violence Against Women Act.""";women;Deborah Ross; in a campaign ad;half-true
16758;"""When asked about equal pay for women, (Rubio’s) quote was that it was a waste of time.""";women;Patrick Murphy; in a U.S. Senate debate;half-true
16759;"Says Hillary Clinton ""viciously"" attacked women abused by Bill Clinton.";women;Donald Trump; in the second presidential debate;barely-true
16760;"Says after Hillary Clinton helped a man accused of raping a 12-year-old, ""she's seen laughing on two separate occasions, laughing at the girl who was raped.""";women;Donald Trump; in the second 2016 presidential debate;false
16761;In Georgia, women earn 82 cents for every dollar earned by men.;women;Jim  Barksdale; in On his campaign website;half-true
16762;"""One extra year of schooling for girls reduces infant mortality rates among their children by up to 10 percent.""";women;Ertharin Cousin; in a speech transcript on Medium;half-true
16763;"Nevada Republican Senate nominee ""Joe Heck voted to criminalize abortion for rape victims.""";women;Planned Parenthood Votes; in an ad;half-true
16764;"""That's legal: If you find out about somebody else's salary even if you're doing exactly the same job, you can be retaliated against, including being fired, in most places.""";women;Hillary Clinton; in a rally in Tampa;barely-true
16765;"""In Congress right now, we're doing the best job we have ever done in women in the federal legislature,"" but it’s still only ""19 percent.""";women;Tim Kaine; in a campaign event;true
16766;"In Liberia, ""a girl is more likely to be married by 18 than to know how to read.""";women;Tina Rosenberg; in an article;barely-true
16767;"Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""";women;Hillary Clinton; in a video shown at the Democratic convention;barely-true
16768;"""We are the only industrialized nation that doesn't guarantee workers paid family leave.""";women;Kirsten Gillibrand; in a speech at the Democratic National Convention;mostly-true
16769;"In South Sudan, ""more teenage girls die in childbirth than finish high school.""";women;UN's UNICEF; in an article on Medium;mostly-true
16770;"As a senator, Hillary Clinton ""paid women less than the men"" in her office.";women;Sharon Day; in a speech at the Republican convention;barely-true
16771;"""Do you know what the second sport with the most concussions is? Women’s soccer… And the third most dangerous sport? Cheerleading.""";women;Drew Brees; in as quoted in an interview with Kirk Bohls of the Austin American-Statesman;half-true
16772;"""In North Carolina, paid family leave is more popular than college basketball.""";women;Moms Rising;;mostly-true
16773;"""90% of rural women and 55% of all women are illiterate"" in Morocco.";women;Snapchat; in a snapchat;false
16774;"Says Hillary Clinton ""savaged"" the dignity of people who accused Bill Clinton of sexual harassment or assault ""and shamed them.""";women;Rebuilding America Now; in an advertisement against Hillary Clinton;barely-true
16775;"""For every extra year that a girl stays in secondary school, her chance of getting infected with HIV/AIDS decreases by half.""";women;Tim Kaine; in a senate hearing;mostly-true
16776;About 1% of federal employees are “actually working in the office.”;workers;Mike Johnson; in remarks to reporters;pants-fire
16777;“Wages adjusted for inflation were massively up under Donald Trump for Black men. … The (Black-white) wage gap in 2019 was actually shrinking under Donald Trump's administration.”;workers;Byron Donalds;" in an interview on CNN's ""State of the Union""";barely-true
16778;"""Teachers and nurses and firefighters are paying a higher tax rate than billionaires and the biggest corporations.""";workers;Kamala Harris;" in an interview on ""60 Minutes""";barely-true
16779;"""We now have historic low unemployment in America among all groups of people.""";workers;Kamala Harris;" in an interview on CBS's ""60 Minutes""";half-true
16780;When New Hampshire gubernatorial nominee Kelly Ayotte served on two companies’ boards, one “laid off 18,000 workers” and the other “laid off 1,200 American workers, moving jobs overseas.”;workers;New Hampshire Democratic Party; in an ad;half-true
16781;“The last union member on a national ticket (was) Ronald Reagan.”;workers;Tim Walz; in an event in Bethlehem, Pa.;false
16782;“Anything that you lose on the tariff from the perspective of the consumer, you gain in higher wages, so you're ultimately much better off.”;workers;JD Vance;" in an interview on NBC's ""Meet the Press""";false
16783;“Wage increases have exceeded” the cost of inflation.;workers;Joe Biden; in an interview with Time magazine;half-true
16784;"""China's in a situation where they have more retired than working.""";workers;Joe Biden; in a fundraising event in Seattle;false
16785;“The United States is an outlier, one of only about half a dozen countries, without any guarantee of paid leave for new parents and/or other health care needs.”;workers;Lisa Subeck; in X, formerly Twitter;true
16786;“We just had 100% increase in layoffs.”;workers;Scott Walker; in TV interview;mostly-true
16787;“The average commute time for people who drive to work in (New York City) is 43 minutes, the longest in the nation.”;workers;Carl Weisbrod; in an op-ed;mostly-true
16788;"""In February alone, nearly 1 million jobs held by native-born Americans disappeared.""";workers;Donald Trump; in a rally in Rome, Georgia;false
16789;“The biggest threat to your unions is millions of people coming across the border, because you're not gonna have your jobs anymore.”;workers;Donald Trump; in a rally;barely-true
16790;“Each year, more than $1 billion is stolen from” workers in New York state through wage theft.;workers;Linda Rosenthal; in a quote in a news article;mostly-true
16791;"“Right now, over 70% of federal employees are still working from home three years after COVID.""";workers;Nikki Haley; in a town hall in Rye, N.H.;barely-true
16792;"""Wages are up after being adjusted for inflation.""";workers;Joe Biden; in a speech in Maine;half-true
16793;"""Every study has shown” that when work requirements are tied to federal safety-net programs, “it puts more people to work.”";workers;Kevin McCarthy;" in an interview on ""Fox News Sunday""";barely-true
16794;“The share of working-age men choosing to work is the lowest it has ever been.”;workers;Tim Scott; in his presidential announcement speech;half-true
16795;“Lifetime earnings of someone with a college degree is over a million dollars more than those entering the workforce without one.”;workers;Stanley Litow; in a news release;mostly-true
16796;“Tammy Baldwin wants to take away” Medicare and Social Security.;workers;National Republican Senatorial Committee; in YouTube ad;false
16797;"The “average tax” for billionaires is “about 3%,” which is “a lower tax than a schoolteacher or a firefighter.""";workers;Joe Biden; in a speech in Lanham, Maryland;false
16798;The 87,000 new IRS agents who were supposed to “only target the rich” are now “coming after waitresses’ tips.”;workers;Mike Palicz; in a tweet;barely-true
16799;“Take-home pay for workers is going up.”;workers;Joe Biden; in remarks at the White House;half-true
16800;"""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""";workers;Ron Johnson; in News release;mostly-true
16801;"""Adjusted for inflation, over the last 25 years teachers have made a $29 increase in their salary.""";workers;Miguel Cardona;" in an interview on NBC's ""Meet the Press""";half-true
